numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07314;20201205120000;99230;60;1;120;2.600000;283.150000;281.450000;89;12000;25;2;mq;100;8;250;38;mq;mq;98960;mq;mq;490;mq;mq;mq;mq;mq;mq;mq;4.100000;4.400000;-10;2;mq;mq;mq;2.000000;6.300000;7.100000;9.900000;12.900000;mq;mq;mq;mq;3;7;200;1;8;300;3;6;500;mq;mq;mq;
07335;20201205120000;99310;-70;7;180;9.000000;278.350000;275.850000;84;50600;0;mq;mq;100;8;450;mq;mq;mq;97870;mq;mq;610;mq;mq;mq;mq;274.750000;mq;mq;13.200000;14.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;0.600000;mq;mq;mq;mq;8;mq;360;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20201205120000;99570;-100;8;180;6.000000;276.150000;274.950000;92;57390;0;mq;mq;100;8;250;mq;mq;mq;94770;mq;mq;700;mq;mq;mq;mq;276.150000;mq;mq;9.000000;12.600000;-10;1;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;0.600000;mq;mq;mq;mq;8;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07460;20201205120000;99680;-60;7;170;6.600000;280.050000;271.150000;53;31550;0;mq;mq;mq;0;mq;mq;mq;mq;95820;mq;mq;840;mq;mq;mq;mq;272.050000;mq;mq;9.800000;9.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07471;20201205120000;mq;-40;8;230;3.300000;276.650000;270.050000;62;20000;0;mq;mq;mq;1;800;mq;mq;mq;90060;mq;615;710;mq;mq;mq;mq;270.750000;mq;mq;6.300000;6.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;1;mq;780;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07481;20201205120000;99900;50;1;130;2.400000;277.850000;275.350000;84;50000;3;2;2;90;1;450;31;21;mq;97010;mq;mq;800;mq;mq;mq;mq;mq;mq;mq;4.000000;5.300000;-10;1;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;6.900000;mq;mq;mq;mq;1;8;450;7;4;5600;mq;mq;mq;mq;mq;mq;
07510;20201205120000;99520;-80;8;180;6.700000;279.550000;278.850000;95;8710;61;mq;mq;100;8;250;mq;mq;mq;98940;mq;mq;570;mq;mq;mq;mq;277.050000;mq;mq;10.700000;10.700000;-10;2;0.000000;mq;mq;0.600000;0.800000;4.500000;10.300000;15.100000;mq;mq;mq;mq;4;mq;270;5;mq;660;6;mq;1050;mq;8;mq;
07535;20201205120000;99790;-80;8;180;4.200000;277.250000;275.550000;89;20000;0;mq;mq;100;8;450;mq;mq;mq;96650;mq;mq;720;mq;mq;mq;mq;277.350000;mq;mq;7.800000;7.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.400000;mq;mq;mq;mq;8;mq;300;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07558;20201205120000;99900;20;0;330;0.900000;274.750000;273.450000;91;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;91520;mq;mq;710;mq;mq;mq;mq;273.750000;mq;mq;2.000000;3.200000;-10;mq;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20201205120000;99870;-40;8;330;0.600000;277.150000;276.250000;94;17020;0;mq;mq;mq;mq;mq;mq;mq;mq;98970;mq;mq;780;mq;mq;mq;mq;277.850000;mq;mq;1.600000;2.300000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;3.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20201205120000;mq;40;3;10;8.700000;274.850000;268.150000;61;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;89780;mq;633;620;mq;mq;mq;mq;275.550000;mq;mq;13.300000;13.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;5.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
